"A1JV1601222","28M1893000",2016-01-27 00:00:00,730,2018-01-26 00:00:00,106200.00,0.00080,"RG","","TF20160160","",0,"","SCEG",,"305",0,"","",,
"A1JV1601235","37M2289000",2016-01-31 00:00:00,730,2018-01-30 00:00:00,16992.00,0.08000,"RG","","TD20160169","",0,"","SCEG",,"305",0,"","",,
"A1JV1601236","06C0315000",2016-01-31 00:00:00,730,2018-01-30 00:00:00,35400.00,0.08000,"RG","","TF20160170","",0,"","SCEG",,"305",0,"","",,
"A1JV1601237","06C0315000",2016-01-31 00:00:00,730,2018-01-30 00:00:00,35400.00,0.08000,"RG","","TF20160171","",0,"","SCEG",,"305",0,"","",,
"A1JV1602066","06C0315000",2016-02-06 00:00:00,730,2018-02-05 00:00:00,10000.00,0.08000,"RG","","TF20160262","",0,"","SCEG",,"305",0,"","",,
"A1JV1602111","06C0315000",2016-02-04 00:00:00,730,2018-02-03 00:00:00,21240.00,0.00800,"RG","","TF20160207","",0,"","SCEG",,"305",0,"","",,
"A1JV1602117","06C1737000",2016-02-08 00:00:00,730,2018-02-07 00:00:00,424800.00,0.08000,"RG","","TF20160213","",0,"","SCEG",,"305",0,"","",,
"A1JV1602123","06C0315000",2016-02-11 00:00:00,730,2018-02-10 00:00:00,28320.00,0.08000,"RG","","TF20160219","",0,"","SCEG",,"305",0,"","",,
"A1JV1601193","28M2955000",2016-01-07 00:00:00,730,2018-01-06 00:00:00,118000.00,0.08000,"RG","","TF20160135","",0,"","SCEG",,"305",0,"","",,
"A1JV1602256","28M3668000",2016-02-25 00:00:00,730,2018-02-24 00:00:00,169920.00,0.08000,"RG","","TF20160234","",0,"","SCEG",,"305",0,"","",,
"A1JV1602257","15M2656000",2016-02-25 00:00:00,730,2018-02-24 00:00:00,84960.00,0.08000,"RG","","TF20160235","",0,"","SCEG",,"305",0,"","",,
"A1JV1602258","47D0271004",2016-02-28 00:00:00,730,2018-02-27 00:00:00,22399.85,0.08000,"RG","","TF20160236","",0,"","SCEG",,"305",0,"","",,
"A1JV1602259","06D1004000",2016-02-28 00:00:00,730,2018-02-27 00:00:00,500000.00,0.08000,"RG","","TF20160237","",0,"","SCEG",,"305",0,"","",,
"A1JV1603096","07C0948000",2016-03-04 00:00:00,730,2018-03-04 00:00:00,169920.00,0.08000,"RG","","TF20160304","",0,"","SCEG",,"305",0,"","",,
"A1JV1603110","06C0315000",2016-03-12 00:00:00,730,2018-03-12 00:00:00,10000.00,0.08000,"RG","","TF20160323","",0,"","SCEG",,"305",0,"","",,
"A1JV1603275","06C0315000",2016-03-05 00:00:00,730,2018-03-05 00:00:00,16992.00,0.08000,"RG","","TF20160309","",0,"","SCEG",,"305",0,"","",,
"A1JV1603276","06C0315000",2016-03-11 00:00:00,730,2018-03-11 00:00:00,86668.64,0.08000,"RG","","TF20160310","",0,"","SCEG",,"305",0,"","",,
"A1JV1603277","06D1004000",2016-03-11 00:00:00,730,2018-03-11 00:00:00,500000.00,0.08000,"RG","","TF20160314","",0,"","SCEG",,"305",0,"","",,
"A1JV1603288","06C0315000",2016-03-16 00:00:00,730,2018-03-16 00:00:00,42480.00,0.08000,"RG","","TF20160327","",0,"","SCEG",,"305",0,"","",,
"A1JV1603298","28M2955000",2016-03-21 00:00:00,730,2018-03-21 00:00:00,70800.00,0.08000,"RG","","TF20160340","",0,"","SCEG",,"305",0,"","",,
"A1JV1603300","06C0315000",2016-03-23 00:00:00,730,2018-03-23 00:00:00,244684.80,0.08000,"RG","","TF20160342","",0,"","SCEG",,"305",0,"","",,
"A1JV1603311","47D0315001",2016-03-27 00:00:00,730,2018-03-27 00:00:00,14160.00,0.08000,"RG","","TD20160354","",0,"","SCEG",,"305",0,"","",,
"A1JV1603312","47D0135007",2016-03-27 00:00:00,730,2018-03-27 00:00:00,14160.00,0.08000,"RG","","TF20160354","",0,"","SCEG",,"305",0,"","",,
"A1JV1604067","06C0315000",2016-04-04 00:00:00,730,2018-04-04 00:00:00,10000.00,0.08000,"RG","","TF20160499","",0,"","SCEG",,"305",0,"","",,
"A1JV1604142","06C0315000",2016-04-01 00:00:00,730,2018-04-01 00:00:00,16992.00,0.08000,"RG","","TF20160402","",0,"","SCEG",,"305",0,"","",,
"A1JV1604143","07C0948000",2016-04-02 00:00:00,730,2018-04-02 00:00:00,82600.00,0.08000,"RG","","TF20160403","",0,"","SCEG",,"305",0,"","",,
"A1JV1604157","22M0794000",2016-04-05 00:00:00,730,2018-04-05 00:00:00,84960.00,0.08000,"RG","","TF20160417","",0,"","SCEG",,"305",0,"","",,
"A1JV1604334","06C0315000",2016-04-04 00:00:00,730,2018-04-04 00:00:00,57820.00,0.08000,"RG","","TF20160469","",0,"","SCEG",,"305",0,"","",,
"A1JV1604193","06C0315000",2016-04-17 00:00:00,730,2018-04-17 00:00:00,133112.14,0.08000,"RG","","TF20160444","",0,"","SCEG",,"305",0,"","",,
